T,0.133,0.533,0.200,0.333,0.067,0.533,0.867,0.000,0.400,0.400,0.667,0.533,0.000,0.533,0.000,0.533
I,0.333,0.800,0.200,0.467,0.133,0.667,0.333,0.333,0.267,0.867,0.200,0.600,0.133,0.533,0.267,0.667
D,0.267,0.733,0.400,0.533,0.400,0.667,0.400,0.133,0.400,0.667,0.200,0.467,0.200,0.467,0.200,0.600
N,0.467,0.733,0.400,0.400,0.200,0.333,0.600,0.267,0.400,0.267,0.267,0.667,0.400,0.667,0.133,0.533
G,0.133,0.067,0.200,0.067,0.067,0.533,0.400,0.400,0.400,0.400,0.333,0.600,0.067,0.467,0.333,0.667
S,0.267,0.733,0.333,0.533,0.200,0.533,0.533,0.400,0.600,0.333,0.400,0.400,0.000,0.533,0.600,0.467
B,0.267,0.133,0.333,0.267,0.267,0.533,0.467,0.400,0.400,0.467,0.400,0.400,0.133,0.533,0.467,0.667
A,0.067,0.067,0.200,0.133,0.067,0.533,0.133,0.133,0.133,0.533,0.133,0.533,0.067,0.400,0.133,0.467
J,0.133,0.133,0.267,0.267,0.133,0.667,0.400,0.133,0.400,0.800,0.267,0.533,0.067,0.400,0.067,0.467
M,0.733,1.000,0.867,0.600,0.467,0.867,0.133,0.400,0.133,0.800,0.067,0.600,0.533,0.067,0.067,0.533
X,0.200,0.600,0.333,0.467,0.267,0.533,0.467,0.200,0.533,0.333,0.400,0.533,0.133,0.533,0.400,0.467
O,0.400,0.867,0.267,0.467,0.267,0.400,0.467,0.400,0.200,0.667,0.467,0.600,0.333,0.600,0.333,0.533
G,0.267,0.600,0.400,0.467,0.400,0.467,0.533,0.400,0.133,0.400,0.333,0.733,0.267,0.533,0.467,0.533
M,0.400,0.600,0.533,0.400,0.600,0.467,0.533,0.400,0.333,0.467,0.333,0.533,0.533,0.600,0.533,0.400
R,0.333,0.600,0.333,0.467,0.400,0.400,0.733,0.467,0.200,0.467,0.200,0.600,0.133,0.467,0.333,0.733
F,0.400,0.600,0.333,0.267,0.200,0.667,0.400,0.200,0.333,0.667,0.333,0.467,0.200,0.600,0.400,0.600
O,0.200,0.267,0.267,0.200,0.133,0.533,0.467,0.467,0.333,0.467,0.400,0.533,0.133,0.533,0.200,0.533
C,0.467,0.667,0.333,0.333,0.133,0.400,0.533,0.400,0.533,0.733,0.467,0.733,0.133,0.533,0.333,0.600
T,0.400,0.733,0.400,0.533,0.333,0.400,0.733,0.333,0.400,0.733,0.600,0.267,0.200,0.800,0.133,0.267
